question,answer
Câu hỏi 1: Quy định pháp luật về độ tuổi kết hôn tại Việt Nam là gì?,"Theo Luật Hôn nhân và Gia đình Việt Nam, nam từ đủ 20 tuổi, nữ từ đủ 18 tuổi mới được kết hôn hợp pháp."
Câu hỏi 2: Quy định pháp luật về điều kiện kết hôn tại Việt Nam là gì?,"Điều kiện kết hôn gồm: đủ tuổi theo luật, tự nguyện, không bị mất năng lực hành vi dân sự và không thuộc các trường hợp cấm kết hôn."
Câu hỏi 3: Quy định pháp luật về kết hôn trái pháp luật tại Việt Nam là gì?,"Kết hôn trái pháp luật là việc kết hôn không đáp ứng điều kiện theo luật, có thể bị hủy theo quyết định của Tòa án."
Câu hỏi 4: Quy định pháp luật về đăng ký kết hôn tại Việt Nam là gì?,Việc đăng ký kết hôn phải thực hiện tại UBND cấp xã nơi cư trú của một trong hai bên.
Câu hỏi 5: Quy định pháp luật về kết hôn với người nước ngoài tại Việt Nam là gì?,Kết hôn với người nước ngoài phải tuân thủ Luật Hôn nhân và Gia đình Việt Nam và quy định pháp luật liên quan đến yếu tố nước ngoài.
Câu hỏi 6: Quy định pháp luật về chế độ tài sản vợ chồng tại Việt Nam là gì?,Vợ chồng có thể lựa chọn chế độ tài sản theo thỏa thuận hoặc theo luật định.
Câu hỏi 7: Quy định pháp luật về tài sản chung tại Việt Nam là gì?,"Tài sản hình thành trong thời kỳ hôn nhân thường được coi là tài sản chung của vợ chồng, trừ trường hợp được tặng cho riêng hoặc thừa kế riêng."
Câu hỏi 8: Quy định pháp luật về tài sản riêng tại Việt Nam là gì?,"Tài sản riêng là tài sản có trước hôn nhân hoặc được tặng cho, thừa kế riêng trong thời kỳ hôn nhân."
Câu hỏi 9: Quy định pháp luật về ly hôn đơn phương tại Việt Nam là gì?,"Ly hôn đơn phương được giải quyết khi một bên yêu cầu và có căn cứ về việc hôn nhân trầm trọng, đời sống chung không thể kéo dài."
Câu hỏi 10: Quy định pháp luật về ly hôn thuận tình tại Việt Nam là gì?,"Ly hôn thuận tình là khi cả hai bên cùng đồng ý ly hôn và thỏa thuận được về con cái, tài sản."
Câu hỏi 11: Quy định pháp luật về quyền nuôi con tại Việt Nam là gì?,"Khi ly hôn, Tòa án quyết định người trực tiếp nuôi con dựa trên quyền lợi mọi mặt của con."
Câu hỏi 12: Quy định pháp luật về cấp dưỡng nuôi con tại Việt Nam là gì?,Cha hoặc mẹ không trực tiếp nuôi con có nghĩa vụ cấp dưỡng cho con theo quy định của pháp luật.
Câu hỏi 13: Quy định pháp luật về chia tài sản khi ly hôn tại Việt Nam là gì?,"Tài sản chung được chia theo nguyên tắc công bằng, có xét đến công sức đóng góp của mỗi bên."
Câu hỏi 14: Quy định pháp luật về bạo lực gia đình tại Việt Nam là gì?,Bạo lực gia đình là hành vi bị nghiêm cấm và có thể bị xử phạt hành chính hoặc truy cứu trách nhiệm hình sự.
Câu hỏi 15: Quy định pháp luật về hủy kết hôn trái pháp luật tại Việt Nam là gì?,Người bị ép buộc kết hôn hoặc cơ quan có thẩm quyền có quyền yêu cầu Tòa án hủy việc kết hôn trái pháp luật.
Câu hỏi 16: Quy định pháp luật về nghĩa vụ vợ chồng tại Việt Nam là gì?,"Vợ chồng có nghĩa vụ thương yêu, chung thủy, tôn trọng và giúp đỡ lẫn nhau."
Câu hỏi 17: Quy định pháp luật về quyền bình đẳng tại Việt Nam là gì?,Vợ chồng bình đẳng về quyền và nghĩa vụ trong quan hệ gia đình.
Câu hỏi 18: Quy định pháp luật về nhận con nuôi tại Việt Nam là gì?,Việc nhận con nuôi phải đáp ứng điều kiện theo Luật Nuôi con nuôi và được cơ quan có thẩm quyền công nhận.
Câu hỏi 19: Quy định pháp luật về xác định cha mẹ con tại Việt Nam là gì?,"Việc xác định cha, mẹ, con có thể thực hiện thông qua đăng ký hộ tịch hoặc yêu cầu Tòa án."
Câu hỏi 20: Quy định pháp luật về kết hôn cận huyết tại Việt Nam là gì?,Kết hôn giữa những người có quan hệ huyết thống trong phạm vi cấm là hành vi bị pháp luật nghiêm cấm.
Câu hỏi 21: Quy định pháp luật về độ tuổi kết hôn tại Việt Nam là gì?,"Theo Luật Hôn nhân và Gia đình Việt Nam, nam từ đủ 20 tuổi, nữ từ đủ 18 tuổi mới được kết hôn hợp pháp."
Câu hỏi 22: Quy định pháp luật về điều kiện kết hôn tại Việt Nam là gì?,"Điều kiện kết hôn gồm: đủ tuổi theo luật, tự nguyện, không bị mất năng lực hành vi dân sự và không thuộc các trường hợp cấm kết hôn."
Câu hỏi 23: Quy định pháp luật về kết hôn trái pháp luật tại Việt Nam là gì?,"Kết hôn trái pháp luật là việc kết hôn không đáp ứng điều kiện theo luật, có thể bị hủy theo quyết định của Tòa án."
Câu hỏi 24: Quy định pháp luật về đăng ký kết hôn tại Việt Nam là gì?,Việc đăng ký kết hôn phải thực hiện tại UBND cấp xã nơi cư trú của một trong hai bên.
Câu hỏi 25: Quy định pháp luật về kết hôn với người nước ngoài tại Việt Nam là gì?,Kết hôn với người nước ngoài phải tuân thủ Luật Hôn nhân và Gia đình Việt Nam và quy định pháp luật liên quan đến yếu tố nước ngoài.
Câu hỏi 26: Quy định pháp luật về chế độ tài sản vợ chồng tại Việt Nam là gì?,Vợ chồng có thể lựa chọn chế độ tài sản theo thỏa thuận hoặc theo luật định.
